rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,JPN,R1,HYBRID,loss,0,1,ITA_vs_JPN,2
2,ITA,R2,JUMP,loss,1,1,ITA_vs_JPN,2
3,JPN,R2,JUMP,loss,1,2,ITA_vs_JPN,2
4,ITA,R3,FLOAT,loss,2,2,ITA_vs_JPN,2
5,JPN,R3,FLOAT,loss,2,3,ITA_vs_JPN,2
6,JPN,R4,JUMP,win,2,4,ITA_vs_JPN,2
7,JPN,R4,JUMP,win,2,5,ITA_vs_JPN,2
8,ITA,R4,JUMP,loss,3,5,ITA_vs_JPN,2
9,JPN,R4,JUMP,loss,3,6,ITA_vs_JPN,2
10,ITA,R5,JUMP,loss,4,6,ITA_vs_JPN,2
11,ITA,R5,JUMP,win,5,6,ITA_vs_JPN,2
12,ITA,R5,JUMP,win,6,6,ITA_vs_JPN,2
13,JPN,R5,JUMP,loss,6,7,ITA_vs_JPN,2
14,ITA,R6,JUMP,loss,7,7,ITA_vs_JPN,2
15,ITA,R6,FLOAT,win,8,7,ITA_vs_JPN,2
16,JPN,R6,JUMP,loss,8,8,ITA_vs_JPN,2
17,JPN,R1,FLOAT,win,8,9,ITA_vs_JPN,2
18,ITA,R1,FLOAT,loss,9,9,ITA_vs_JPN,2
19,ITA,R1,JUMP,win,10,9,ITA_vs_JPN,2
20,JPN,R1,JUMP,loss,10,10,ITA_vs_JPN,2
21,JPN,R2,JUMP,win,10,11,ITA_vs_JPN,2
22,ITA,R2,JUMP,loss,11,11,ITA_vs_JPN,2
23,ITA,R2,JUMP,win,12,11,ITA_vs_JPN,2
24,JPN,R2,JUMP,loss,12,12,ITA_vs_JPN,2
25,ITA,R3,FLOAT,loss,13,12,ITA_vs_JPN,2
26,ITA,R3,FLOAT,win,14,12,ITA_vs_JPN,2
27,JPN,R3,FLOAT,loss,14,13,ITA_vs_JPN,2
28,JPN,R4,JUMP,win,14,14,ITA_vs_JPN,2
29,JPN,R4,JUMP,win,14,15,ITA_vs_JPN,2
30,ITA,R4,JUMP,loss,15,15,ITA_vs_JPN,2
31,ITA,R4,JUMP,win,16,15,ITA_vs_JPN,2
32,JPN,R4,JUMP,loss,16,16,ITA_vs_JPN,2
33,ITA,R5,JUMP,loss,17,16,ITA_vs_JPN,2
34,JPN,R5,JUMP,loss,17,17,ITA_vs_JPN,2
35,ITA,R6,FLOAT,loss,18,17,ITA_vs_JPN,2
36,ITA,R6,FLOAT,win,19,17,ITA_vs_JPN,2
