rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,USA,R1,JUMP,loss,0,1,FRA_vs_USA,1
2,FRA,R2,JUMP,loss,1,1,FRA_vs_USA,1
3,USA,R2,FLOAT,loss,1,2,FRA_vs_USA,1
4,USA,R3,JUMP,win,1,3,FRA_vs_USA,1
5,FRA,R3,HYBRID,loss,2,3,FRA_vs_USA,1
6,USA,R3,JUMP,loss,2,4,FRA_vs_USA,1
7,FRA,R4,JUMP,loss,3,4,FRA_vs_USA,1
8,USA,R4,JUMP,loss,3,5,FRA_vs_USA,1
9,FRA,R5,JUMP,loss,4,5,FRA_vs_USA,1
10,USA,R5,FLOAT,loss,4,6,FRA_vs_USA,1
11,FRA,R6,JUMP,loss,5,6,FRA_vs_USA,1
12,FRA,R6,JUMP,win,6,6,FRA_vs_USA,1
13,FRA,R6,FLOAT,win,7,6,FRA_vs_USA,1
14,USA,R6,FLOAT,loss,7,7,FRA_vs_USA,1
15,FRA,R1,JUMP,loss,8,7,FRA_vs_USA,1
16,USA,R1,FLOAT,loss,8,8,FRA_vs_USA,1
17,USA,R2,JUMP,win,8,9,FRA_vs_USA,1
18,FRA,R2,JUMP,loss,9,9,FRA_vs_USA,1
19,USA,R2,FLOAT,loss,9,10,FRA_vs_USA,1
20,FRA,R3,JUMP,loss,10,10,FRA_vs_USA,1
21,FRA,R3,JUMP,win,11,10,FRA_vs_USA,1
22,USA,R3,FLOAT,loss,11,11,FRA_vs_USA,1
23,USA,R4,JUMP,win,11,12,FRA_vs_USA,1
24,USA,R4,JUMP,win,11,13,FRA_vs_USA,1
25,FRA,R4,JUMP,loss,12,13,FRA_vs_USA,1
26,USA,R4,JUMP,loss,12,14,FRA_vs_USA,1
27,USA,R5,JUMP,win,12,15,FRA_vs_USA,1
