rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,BRA,R1,JUMP,win,1,0,BRA_vs_FRA,3
2,FRA,R1,FLOAT,loss,1,1,BRA_vs_FRA,3
3,BRA,R2,FLOAT,loss,2,1,BRA_vs_FRA,3
4,BRA,R2,JUMP,win,3,1,BRA_vs_FRA,3
5,BRA,R2,JUMP,win,4,1,BRA_vs_FRA,3
6,FRA,R2,JUMP,loss,4,2,BRA_vs_FRA,3
7,FRA,R3,JUMP,win,4,3,BRA_vs_FRA,3
8,BRA,R3,JUMP,loss,5,3,BRA_vs_FRA,3
9,FRA,R3,FLOAT,loss,5,4,BRA_vs_FRA,3
10,BRA,R4,JUMP,loss,6,4,BRA_vs_FRA,3
11,FRA,R4,JUMP,loss,6,5,BRA_vs_FRA,3
12,BRA,R5,JUMP,loss,7,5,BRA_vs_FRA,3
13,BRA,R5,JUMP,win,8,5,BRA_vs_FRA,3
14,BRA,R5,JUMP,win,9,5,BRA_vs_FRA,3
15,FRA,R5,JUMP,loss,9,6,BRA_vs_FRA,3
16,BRA,R6,JUMP,loss,10,6,BRA_vs_FRA,3
17,FRA,R6,HYBRID,loss,10,7,BRA_vs_FRA,3
18,BRA,R1,JUMP,loss,11,7,BRA_vs_FRA,3
19,BRA,R1,JUMP,win,12,7,BRA_vs_FRA,3
20,FRA,R1,JUMP,loss,12,8,BRA_vs_FRA,3
21,BRA,R2,FLOAT,loss,13,8,BRA_vs_FRA,3
22,FRA,R2,JUMP,loss,13,9,BRA_vs_FRA,3
23,BRA,R3,JUMP,loss,14,9,BRA_vs_FRA,3
24,FRA,R3,JUMP,loss,14,10,BRA_vs_FRA,3
25,FRA,R4,JUMP,win,14,11,BRA_vs_FRA,3
26,BRA,R4,JUMP,loss,15,11,BRA_vs_FRA,3
