rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,POL,R1,HYBRID,loss,0,1,ITA_vs_POL,4
2,ITA,R2,JUMP,loss,1,1,ITA_vs_POL,4
3,POL,R2,HYBRID,loss,1,2,ITA_vs_POL,4
4,POL,R3,JUMP,win,1,3,ITA_vs_POL,4
5,ITA,R3,JUMP,loss,2,3,ITA_vs_POL,4
6,ITA,R3,FLOAT,win,3,3,ITA_vs_POL,4
7,ITA,R3,JUMP,win,4,3,ITA_vs_POL,4
8,POL,R3,HYBRID,loss,4,4,ITA_vs_POL,4
9,ITA,R4,JUMP,loss,5,4,ITA_vs_POL,4
10,ITA,R4,JUMP,win,6,4,ITA_vs_POL,4
11,POL,R4,JUMP,loss,6,5,ITA_vs_POL,4
12,POL,R5,JUMP,win,6,6,ITA_vs_POL,4
13,ITA,R5,JUMP,loss,7,6,ITA_vs_POL,4
14,POL,R5,JUMP,loss,7,7,ITA_vs_POL,4
15,ITA,R6,JUMP,loss,8,7,ITA_vs_POL,4
16,ITA,R6,HYBRID,win,9,7,ITA_vs_POL,4
17,ITA,R6,JUMP,win,10,7,ITA_vs_POL,4
18,ITA,R6,FLOAT,win,11,7,ITA_vs_POL,4
19,ITA,R6,HYBRID,win,12,7,ITA_vs_POL,4
20,POL,R6,FLOAT,loss,12,8,ITA_vs_POL,4
21,ITA,R1,FLOAT,loss,13,8,ITA_vs_POL,4
22,ITA,R1,HYBRID,win,14,8,ITA_vs_POL,4
23,POL,R1,JUMP,loss,14,9,ITA_vs_POL,4
24,ITA,R2,JUMP,loss,15,9,ITA_vs_POL,4
